scenario,mode,mode_label,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_precision,test_recall,test_auc
w2_self,online_friend_only,online_friend only,42,12,4027,1343,1343,0.7222635889798957,0.7371388301620859,0.7546897546897547,0.7203856749311295,0.8006259738984065
w2_self,online_friend_only,online_friend only,52,11,4027,1343,1343,0.7230081906180194,0.7423822714681441,0.7465181058495822,0.7382920110192838,0.7985341852293378
w2_self,online_friend_only,online_friend only,62,10,4027,1343,1343,0.7185405807892777,0.7385892116182573,0.7416666666666667,0.7355371900826446,0.7898790468408856
w2_self,online_friend_only,online_friend only,72,9,4027,1343,1343,0.7177959791511541,0.7325335215243473,0.7510853835021708,0.7148760330578512,0.7995789633479334
w2_self,online_friend_only,online_friend only,82,9,4027,1343,1343,0.7416232315711094,0.7605244996549344,0.7621023513139695,0.7589531680440771,0.809984328328221
w2_self,online_only,online only,42,11,4027,1343,1343,0.723752792256143,0.7407407407407407,0.75177304964539,0.7300275482093664,0.792680748846949
w2_self,online_only,online only,52,11,4027,1343,1343,0.7222635889798957,0.7432897453544391,0.7427785419532325,0.743801652892562,0.8003067361399469
w2_self,online_only,online only,62,11,4027,1343,1343,0.7170513775130305,0.7375690607734806,0.739612188365651,0.7355371900826446,0.7854074857905711
w2_self,online_only,online only,72,11,4027,1343,1343,0.7364110201042442,0.7531380753138075,0.7627118644067796,0.743801652892562,0.8026619517705418
w2_self,online_only,online only,82,10,4027,1343,1343,0.7438570364854803,0.760778859527121,0.7682584269662921,0.7534435261707989,0.806687026445388
w3_self,baseline_untyped,Baseline (untyped),42,17,4027,1343,1343,0.6999255398361877,0.6953892668178382,0.71875,0.6734992679355783,0.7683615067216824
w3_self,baseline_untyped,Baseline (untyped),52,13,4027,1343,1343,0.7230081906180194,0.7203007518796992,0.740340030911901,0.7013177159590044,0.7887461732996139
w3_self,baseline_untyped,Baseline (untyped),62,9,4027,1343,1343,0.7051377513030529,0.7027027027027027,0.7211093990755008,0.6852122986822841,0.7739984027685345
w3_self,baseline_untyped,Baseline (untyped),72,8,4027,1343,1343,0.6999255398361877,0.6911877394636016,0.72508038585209,0.6603221083455344,0.7787812236567728
w3_self,baseline_untyped,Baseline (untyped),82,9,4027,1343,1343,0.7148175725986597,0.7069625095638867,0.7403846153846154,0.6764275256222547,0.7775810816806423
w3_self,enemy_only,enemy only,42,8,4027,1343,1343,0.6902457185405808,0.6780185758513931,0.7192118226600985,0.6412884333821376,0.7665047251430852
w3_self,enemy_only,enemy only,52,5,4027,1343,1343,0.7088607594936709,0.7176895306859206,0.707977207977208,0.7276720351390923,0.7759283907892986
w3_self,enemy_only,enemy only,62,10,4027,1343,1343,0.6909903201787044,0.6824789594491201,0.7147435897435898,0.6530014641288433,0.7649607347264742
w3_self,enemy_only,enemy only,72,9,4027,1343,1343,0.7073715562174236,0.700228832951945,0.7308917197452229,0.6720351390922401,0.7764763299170327
w3_self,enemy_only,enemy only,82,5,4027,1343,1343,0.6932241250930752,0.7018813314037626,0.6938483547925608,0.7101024890190337,0.766484759749767
w3_self,friend_only,friend only,42,9,4027,1343,1343,0.7021593447505584,0.691358024691358,0.7308319738988581,0.6559297218155198,0.7751297750565687
w3_self,friend_only,friend only,52,11,4027,1343,1343,0.7103499627699181,0.7037319116527038,0.7333333333333333,0.6764275256222547,0.7863214871999644
w3_self,friend_only,friend only,62,9,4027,1343,1343,0.7081161578555473,0.7012195121951219,0.7313195548489666,0.6734992679355783,0.7736700829673011
