scenario,mode,mode_label,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_precision,test_recall,test_auc
w3_self,offline_friend_only,offline_friend only,42,13,3961,1321,1321,0.6744890234670704,0.6747352496217852,0.7113237639553429,0.641726618705036,0.7492794262992163
w3_self,offline_friend_only,offline_friend only,52,7,3961,1321,1321,0.6782740348221045,0.6944644140905823,0.6939655172413793,0.6949640287769784,0.7441722021743629
w3_self,offline_friend_only,offline_friend only,62,13,3961,1321,1321,0.6616199848599545,0.6781857451403888,0.6786743515850144,0.6776978417266187,0.7450260877559933
w3_self,offline_friend_only,offline_friend only,72,8,3961,1321,1321,0.6813020439061317,0.696028880866426,0.6985507246376812,0.6935251798561151,0.7385501183717563
w3_self,offline_friend_only,offline_friend only,82,8,3961,1321,1321,0.668433005299016,0.6848920863309352,0.6848920863309352,0.6848920863309352,0.7343852713356471
w3_self,offline_only,offline only,42,5,3961,1321,1321,0.6707040121120363,0.6770601336302895,0.6993865030674846,0.6561151079136691,0.7434964488473119
w3_self,offline_only,offline only,52,6,3961,1321,1321,0.6873580620741863,0.7039426523297491,0.7014285714285714,0.7064748201438849,0.7524789114395384
w3_self,offline_only,offline only,62,12,3961,1321,1321,0.660105980317941,0.6729788783685361,0.6814159292035398,0.6647482014388489,0.7450915944560645
w3_self,offline_only,offline only,72,9,3961,1321,1321,0.6896290688872067,0.707977207977208,0.7009873060648801,0.7151079136690648,0.7427402486956122
w3_self,offline_only,offline only,82,8,3961,1321,1321,0.6654049962149886,0.6801736613603473,0.6841339155749636,0.6762589928057554,0.7318178683889949
w3_self,online_enemy_only,online_enemy only,42,6,3961,1321,1321,0.6737320211960636,0.6717440974866717,0.7135922330097088,0.6345323741007194,0.7452478911439538
w3_self,online_enemy_only,online_enemy only,52,7,3961,1321,1321,0.6790310370931113,0.6905109489051094,0.7007407407407408,0.6805755395683454,0.7483922127473739
w3_self,online_enemy_only,online_enemy only,62,11,3961,1321,1321,0.6767600302800908,0.6899055918663762,0.6964809384164223,0.6834532374100719,0.7538005378444849
w3_self,online_enemy_only,online_enemy only,72,7,3961,1321,1321,0.6873580620741863,0.6965466568699485,0.7117117117117117,0.6820143884892086,0.7411290137219297
w3_self,online_enemy_only,online_enemy only,82,8,3961,1321,1321,0.6676760030280091,0.6821144098479363,0.6865889212827988,0.6776978417266187,0.7267198381869585
w3_self,online_friend_only,online_friend only,42,13,3961,1321,1321,0.6714610143830432,0.6681957186544343,0.7128874388254486,0.6287769784172662,0.7423150297653252
w3_self,online_friend_only,online_friend only,52,7,3961,1321,1321,0.6775170325510976,0.6885964912280702,0.6998514115898959,0.6776978417266187,0.7481531707541315
w3_self,online_friend_only,online_friend only,62,13,3961,1321,1321,0.6744890234670704,0.6879535558780842,0.6939970717423133,0.6820143884892086,0.7503367274231734
w3_self,online_friend_only,online_friend only,72,9,3961,1321,1321,0.6608629825889477,0.6763005780346821,0.6792452830188679,0.6733812949640288,0.7379134392166777
w3_self,online_friend_only,online_friend only,82,8,3961,1321,1321,0.663890991672975,0.6777939042089985,0.6837481698389458,0.6719424460431654,0.7299262187693935
w3_self,online_only,online only,42,11,3961,1321,1321,0.6797880393641181,0.6793025018953753,0.717948717948718,0.6446043165467625,0.7535385110441999
w3_self,online_only,online only,52,6,3961,1321,1321,0.6866010598031794,0.703012912482066,0.7010014306151645,0.7050359712230215,0.7550922840002758
w3_self,online_only,online only,62,12,3961,1321,1321,0.6676760030280091,0.6750555144337528,0.6951219512195121,0.6561151079136691,0.7453880984669135
w3_self,online_only,online only,72,9,3961,1321,1321,0.6835730507191522,0.7001434720229556,0.698140200286123,0.702158273381295,0.7467166203139725
w3_self,online_only,online only,82,9,3961,1321,1321,0.6631339894019682,0.6725533480500367,0.6882530120481928,0.6575539568345323,0.7364378146045464
