student_id,school_id,class,v13,nominated_seat_no,rank
s112014332042,14332,805.0,19,10,4
s112014332042,14332,805.0,19,5,5
s112014332044,14332,805.0,21,11,1
s112014332044,14332,805.0,21,17,2
s112014332047,14332,805.0,24,11,1
s112014332047,14332,805.0,24,17,2
s112014332047,14332,805.0,24,10,3
s112014332048,14332,805.0,25,11,1
s112014332048,14332,805.0,25,17,2
s112014332048,14332,805.0,25,10,3
s112014332049,14332,805.0,26,10,1
s112014332049,14332,805.0,26,11,2
s112014332052,14332,811.0,1,17,1
s112014332052,14332,811.0,1,3,2
s112014332052,14332,811.0,1,8,3
s112014332052,14332,811.0,1,29,4
s112014332052,14332,811.0,1,9,5
s112014332053,14332,811.0,2,9,1
s112014332054,14332,811.0,3,9,1
s112014332055,14332,811.0,4,9,1
s112014332055,14332,811.0,4,17,2
s112014332055,14332,811.0,4,29,3
s112014332056,14332,811.0,5,9,1
s112014332058,14332,811.0,7,9,1
