idx,ver11_col,ver00_col,deterministic,exact_ratio,raw_nonempty_n,clean_nonempty_n,raw_unique_nonempty,clean_unique_nonempty,mapped_raw_unique_nonempty,mapped_clean_unique_nonempty,collapsed_levels
204,33-6,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-6.故意破壞某人的東西或故意藏起來。,True,0.848205,1019,1019,4,4,4,4,0
205,33-7,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-7.勒索或強要某人的東西。,True,0.848205,1019,1019,4,4,4,4,0
206,33-8,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-8.對某人肢體攻擊。,True,0.848205,1019,1019,4,4,4,4,0
207,34,34.上九年級以來，你曾在網路上，被其他人辱罵、惡意取笑、拒絕加入討論、散佈丟臉的影片、發佈不實的訊息嗎？,True,0.0,6713,6713,2,2,2,2,0
208,35-1,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-1.別人用髒話罵或威脅我。,True,0.899598,674,674,4,4,4,4,0
209,35-2,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-2.別人說我的壞話。,True,0.899598,674,674,4,4,4,4,0
210,35-3,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-3.不讓我加入討論。,True,0.899598,674,674,4,4,4,4,0
211,35-4,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-4.被嘲笑外貌、言行舉止。,True,0.899598,674,674,4,4,4,4,0
212,35-5,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-5.被嘲笑我喜歡某人。,True,0.899598,674,674,4,4,4,4,0
213,35-6,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-6.在網路散布使我丟臉的照片或影片。,True,0.899598,674,674,4,4,4,4,0
214,35-7,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-7.假冒我的社交帳號或是電子郵件，在網路上發佈不實訊息。,True,0.899598,674,674,4,4,4,4,0
215,36,36.上九年級以來，你曾在網路上，對別人辱罵、惡意取笑、拒絕加入討論、散佈丟臉的影片、發佈不實訊息等事情嗎？,True,0.0,6713,6713,2,2,2,2,0
